Paper,URL,Year,Writing Stage,Writing Context,Purpose,Specificity,Audience,Demographic Profile - Design,Demographic Profile - Evaluation,System Output Preferences - Design,System Output Preferences - Evaluation,Relationship to System - Design,Relationship to System - Evaluation,User Capabilities - Design,User Capabilities - Evaluation,Data - Source,Data - Size,Model - Type,Model - External Resource Access,Learning - Problem,Learning - Algorithm,Learning - Training and Adaptation,Evaluation - Evaluator,Evaluation - Focus,Scalability,User - Steering the System,User - Integrating System Output,UI - Interface Paradigm,UI - Layout,UI - Visual Differentiation,UI - Interaction Metaphor,UI - Initiation,System - Output Type,System - Curation Type,System - User Data Access,Digital Infrastructure,Social Factors,Locale,Access Model,Norms & Rules,Change Over Time
Lexichrome: Text Construction and Lexical Discovery with Word-Color Associations Using Interactive Visualization,https://doi.org/10.1145/3357236.3395503,2020,NA,NA,NA,NA,NA,Profession,Profession,"Textual diversity, Textual coherence","Textual diversity, Textual coherence",Ownership,Ownership,Creativity,Creativity,Crowdworker,Large (<1M),Rule-based model,NA,NA,NA,NA,Human evaluation,Other,NA,"No control, Implicit",No integration,"Other, Text editor",Separated,Location,Tool,User-initiated,Analysis,Deterministic,Input text,NA,Designing with stakeholders,Local writing,Free and open-source software,Conventions,"Readers, Authors, Writing"
Investigating the Effects of Self-Avatars and Story-Relevant Avatars on Children's Creative Storytelling,https://doi.org/10.1145/3313831.3376331,2020,"Planning, Drafting",Creative,"Educational, Narrative, Entertainment","General Direction, Specific Objectives",Specified,Age,Age,"Other, Personalization",Other,"Ownership, Agency",Ownership,Creativity,Creativity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Implicit, Explicit",Inspiration,Other,Custom,Media type,"Tool, Other",User-initiated,"Proposal, Generation",Customized,Other,NA,NA,NA,NA,NA,NA
Exploring the Effects of Technological Writing Assistance for Support Providers in Online Mental Health Community,https://doi.org/10.1145/3313831.3376695,2020,Revision,"Personal, Other","Accessibility, Other","Nonspecific, Specific Objectives","Implied, Specified",NA,Education,"Textual diversity, Other, Textual coherence","Textual diversity, Other, Textual coherence",Ownership,"Ownership, Transparency","Emotion, Neurodiversity","Emotion, Empathy, Neurodiversity",Other,Large (<1M),Statistical ML model,NA,Classification,Supervised learning,Training from scratch,Human-machine evaluation,"Style & adequacy, Linguistic quality, Ethics",NA,"No control, Implicit",Inspiration,"Other, Text editor",Separated,Location,Tool,"User-initiated, System-initiated","Proposal, Analysis",Model,Input text,NA,NA,NA,NA,NA,NA
LinggleWrite: a Coaching System for Essay Writing,https://aclanthology.org/2020.acl-demos.17,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"User, Other",Large (<1M),Deep neural network,NA,"Classification, Structured prediction","Unsupervised learning, Supervised learning",Training from scratch,Automatic evaluation,Linguistic quality,NA,"Implicit, Explicit","Inspiration, Selection",Text editor,Separated,"Formatting, Location",Tool,User-initiated,Analysis,Model,Input text,NA,NA,NA,NA,NA,NA
AMesure: A Web Platform to Assist the Clear Writing of Administrative Texts,https://aclanthology.org/2020.aacl-demo.1,2020,Revision,Professional,Analytical,General Direction,Specified,Profession,Profession,NA,NA,Ownership,Ownership,Writing expertise,NA,Other,Medium (<10k),Rule-based model,NA,Regression,NA,NA,Human evaluation,Linguistic quality,NA,"No control, Implicit","Inspiration, No integration","Other, Text editor","Custom, Separated",Location,Tool,"User-initiated, Other",Analysis,"Curated, Model",Input text,Usability consistency,NA,Local writing,Free and open-source software,"Conventions, Laws",Regulation
The Impact of Multiple Parallel Phrase Suggestions on Email Input and Composition Behaviour of Native and Non-Native English Writers,https://doi.org/10.1145/3411764.3445372,2021,Drafting,Other,NA,"Nonspecific, General Direction",Implied,Language & culture,Language & culture,NA,Textual diversity,Ownership,Ownership,"Efficiency, Creativity",Efficiency,User,Large (<1M),Foundation model,NA,Generation,Unsupervised learning,Fine-tuning,Human-machine evaluation,Other,NA,"No control, Implicit",Selection,Text editor,Writing area,"None, Location",Tool,"User-initiated, System-initiated",Generation,Model,Input text,Usability consistency,"Designing with stakeholders, Designing for social writing",Local writing,NA,Conventions,Writing
Supporting Cognitive and Emotional Empathic Writing of Students,https://aclanthology.org/2021.acl-long.314,2021,Revision,Professional,Educational,Specific Objectives,"Implied, Specified",Education,Education,Other,Other,NA,NA,Empathy,Empathy,"User, Expert",Medium (<10k),Deep neural network,NA,"Classification, Regression",Supervised learning,Training from scratch,"Automatic evaluation, Human evaluation",Other,NA,No control,No integration,"Other, Text editor",Custom,Location,Tool,User-initiated,Analysis,Curated,Input text,NA,"Designing with stakeholders, Designing for social writing",NA,Free and open-source software,"Conventions, Other",Writing
Supporting Spanish Writers using Automated Feedback,https://aclanthology.org/2021.naacl-demos.14,2021,Revision,Other,Educational,"General Direction, Specific Objectives","Implied, Specified","Language & culture, Education","Language & culture, Education",Textual coherence,Textual coherence,Ownership,Ownership,Writing expertise,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No control, Implicit","Inspiration, No integration","Other, Text editor",Separated,Location,Tool,User-initiated,Analysis,Model,Input text,NA,NA,NA,NA,NA,NA
Story Centaur: Large Language Model Few Shot Learning as a Creative Writing Tool,https://aclanthology.org/2021.eacl-demos.29,2021,NA,NA,NA,NA,NA,Profession,NA,NA,NA,NA,NA,Creativity,Creativity,NA,Unknown,Foundation model,NA,Generation,Reinforcement learning,Prompt Engineering,NA,Controllability,NA,Explicit,Selection,Other,"Custom, Separated",Location,"Tool, Hybrid","User-initiated, Other",Generation,Model,Input text,NA,NA,NA,NA,NA,NA
SonAmi: A Tangible Creativity Support Tool for Productive Procrastination,https://doi.org/10.1145/3450741.3465250,2021,Idea generation,Creative,Narrative,Specific Objectives,Specified,Profession,Profession,Other,NA,Ownership,Ownership,Creativity,Creativity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical interoperability,Designing with stakeholders,Local writing,NA,NA,"Authors, Writing"
Poetry Machines: Eliciting Designs for Interactive Writing Tools from Poets,https://doi.org/10.1145/3450741.3466813,2021,"Drafting, Idea generation, Revision",Creative,NA,NA,NA,NA,NA,NA,NA,NA,NA,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explicit,Other,NA,NA,NA,Tool,User-initiated,"Proposal, Generation",NA,Input text,NA,Designing with stakeholders,Local writing,NA,Conventions,Writing
Exploring Methods for Generating Feedback Comments for Writing Learning,https://aclanthology.org/2021.emnlp-main.766,2021,Revision,Other,Educational,NA,Specified,Education,NA,NA,NA,Ownership,Ownership,Writing expertise,NA,"Other, Expert",Large (<1M),Deep neural network,NA,Generation,Unsupervised learning,Training from scratch,Human evaluation,"Style & adequacy, Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Effective Interfaces for Student-Driven Revision Sessions for Argumentative Writing,https://doi.org/10.1145/3411764.3445683,2021,Revision,Professional,Persuasive,General Direction,Specified,Education,Education,NA,NA,NA,NA,Writing expertise,Writing expertise,NA,NA,Other,NA,Classification,NA,NA,NA,NA,NA,No control,No integration,"Other, Text editor",Custom,Formatting,Tool,System-initiated,Analysis,Deterministic,Input text,NA,NA,NA,NA,NA,NA
Choose Your Own Adventure: Paired Suggestions in Collaborative Writing for Evaluating Story Generation Models,https://aclanthology.org/2021.naacl-main.279,2021,Drafting,Creative,Narrative,Specific Objectives,Specified,Profession,"Language & culture, Profession",Textual coherence,Textual coherence,Agency,Agency,Creativity,Writing expertise,Other,Large (<1M),Deep neural network,Other,Generation,Unsupervised learning,Fine-tuning,Human evaluation,Style & adequacy,NA,Explicit,Selection,Other,Separated,Location,Hybrid,User-initiated,Generation,Model,Input text,NA,Designing with stakeholders,NA,NA,NA,Writing
CharacterChat: Supporting the Creation of Fictional Characters through Conversation and Progressive Manifestation with a Chatbot,https://doi.org/10.1145/3450741.3465253,2021,Idea generation,Creative,"Descriptive, Feedback",Specific Objectives,Specified,Profession,"Education, Profession",Textual diversity,Textual diversity,Other,Other,Creativity,Creativity,Other,Extremely large (>1M),Deep neural network,NA,Generation,NA,NA,Human evaluation,Controllability,NA,Explicit,Inspiration,Chatbot,Other,Location,Agent,User-initiated,Generation,"Model, Customized",Input text,NA,Designing with stakeholders,NA,NA,NA,Writing
BunCho: AI Supported Story Co-Creation via Unsupervised Multitask Learning to Increase Writers’ Creativity in Japanese,https://doi.org/10.1145/3411763.3450391,2021,Idea generation,Creative,Narrative,General Direction,Implied,Language & culture,Language & culture,Textual coherence,Textual coherence,NA,NA,Writing expertise,Writing expertise,Other,Extremely large (>1M),Deep neural network,NA,Generation,Unsupervised learning,Fine-tuning,Human evaluation,Linguistic quality,NA,Implicit,Selection,Other,Custom,Location,"Tool, Hybrid",User-initiated,Generation,Model,"Input text, Additional data",NA,Designing with stakeholders,Remote writing,NA,NA,Writing
Breaking Writer's Block: Low-cost Fine-tuning of Natural Language Generation Models,https://aclanthology.org/2021.eacl-demos.33,2021,"Drafting, Idea generation","Personal, Creative","Narrative, Expository","Nonspecific, General Direction",Implied,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Unknown, Medium (<10k)","Foundation model, Deep neural network",Data,Generation,Self-supervised learning,Fine-tuning,Automatic evaluation,"Controllability, Style & adequacy, Linguistic quality",Cost,Explicit,"Editing, Selection",Text editor,Writing area,Formatting,"Tool, Hybrid",User-initiated,Generation,"Deterministic, Model",Input text,NA,NA,NA,NA,NA,NA
Beyond Grammatical Error Correction: Improving L1-influenced research writing in English using pre-trained encoder-decoder models,https://aclanthology.org/2021.findings-emnlp.216,2021,Revision,Academic,"Expository, Translation",General Direction,Implied,"Language & culture, Profession",Profession,Other,Other,NA,NA,Writing expertise,Writing expertise,Other,"Extremely large (>1M), Large (<1M)",Deep neural network,NA,"Generation, Rewriting",Unsupervised learning,Fine-tuning,Machine-learned evaluation,Linguistic quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRAG: Director-Generator Language Modelling Framework for Non-Parallel Author Stylized Rewriting,https://aclanthology.org/2021.eacl-main.73,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Extremely large (>1M),Deep neural network,NA,Generation,Unsupervised learning,Fine-tuning,Automatic evaluation,Linguistic quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
“I Wrote as If I Were Telling a Story to Someone I Knew.”: Designing Chatbot Interactions for Expressive Writing in Mental Health,https://doi.org/10.1145/3461778.3462143,2021,Drafting,Personal,Other,General Direction,NA,NA,Other,Personalization,Personalization,Privacy,Transparency,Emotion,Emotion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No control,No integration,Chatbot,Custom,NA,Tool,System-initiated,Other,Deterministic,Input text,"Usability consistency, Technical interoperability",Designing with stakeholders,Remote writing,NA,Conventions,Authors
“I Can’t Reply with That”: Characterizing Problematic Email Reply Suggestions,https://doi.org/10.1145/3411764.3445557,2021,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Usability consistency,Designing with stakeholders,NA,NA,Conventions,Authors
Wordcraft: Story Writing With Large Language Models,https://doi.org/10.1145/3490099.3511105,2022,Drafting,Creative,Narrative,"General Direction, Specific Objectives",Implied,Profession,Profession,"Textual diversity, Textual coherence, Personalization",Textual coherence,Agency,"Ownership, Agency",Creativity,Creativity,"User, Other","Unknown, Extremely large (>1M)",Foundation model,Tool,"Generation, Rewriting","Unsupervised learning, Reinforcement learning",Prompt Engineering,Human-machine evaluation,"Style & adequacy, Linguistic quality",NA,Explicit,"Selection, Inspiration",Text editor,Separated,"None, Location",Tool,User-initiated,Generation,"Curated, Model",Input text,NA,NA,NA,NA,NA,NA
Will AI Console Me When I Lose My Pet? Understanding Perceptions of AI-Mediated Email Writing,https://doi.org/10.1145/3491102.3517731,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trust,Trust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watch Me Write: Exploring the Effects of Revealing Creative Writing Process through Writing Replay,https://doi.org/10.1145/3527927.3532806,2022,NA,NA,NA,NA,NA,Profession,Profession,Textual coherence,Textual coherence,Ownership,Ownership,Creativity,Creativity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Designing with stakeholders, Designing for social writing",NA,NA,NA,"Readers, Authors, Writing"
TaleBrush: Sketching Stories with Generative Pretrained Language Models,https://doi.org/10.1145/3491102.3501819,2022,NA,NA,NA,NA,NA,Profession,Profession,"Textual diversity, Textual coherence","Textual diversity, Textual coherence","Ownership, Agency","Ownership, Agency",Creativity,Creativity,"User, Crowdworker",Medium (<10k),Foundation model,Data,Generation,"Supervised learning, Reinforcement learning","Prompt Engineering, Training from scratch, Fine-tuning","Automatic evaluation, Human-machine evaluation, Human evaluation",Linguistic quality,Cost,Explicit,Editing,Text editor,Input UI,Location,Tool,User-initiated,Generation,Model,Additional data,NA,Designing with stakeholders,NA,NA,Conventions,Writing
Sparks: Inspiration for Science Writing Using Language Models,https://doi.org/10.1145/3532106.3533533,2022,Idea generation,"Academic, Creative","Educational, Narrative",General Direction,Specified,Education,Education,"Textual coherence, Textual diversity","Textual coherence, Textual diversity",Ownership,Ownership,Writing expertise,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, No control",Inspiration,Other,Separated,Location,Tool,User-initiated,Generation,Deterministic,Input text,NA,Designing with stakeholders,NA,NA,Conventions,Writing
Self-supervised Product Title Rewrite for Product Listing Ads,https://aclanthology.org/2022.naacl-industry.10,2022,NA,NA,NA,NA,NA,NA,NA,"Textual diversity, Textual coherence",Textual coherence,Ownership,Ownership,NA,NA,Machine,Medium (<10k),Foundation model,Data,Rewriting,Self-supervised learning,Fine-tuning,Automatic evaluation,Linguistic quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modeling Persuasive Discourse to Adaptively Support Students' Argumentative Writing,https://aclanthology.org/2022.acl-long.599,2022,Revision,Professional,Educational,Specific Objectives,Implied,"Language & culture, Education","Language & culture, Education",NA,NA,NA,NA,Other,Other,Expert,Medium (<10k),Foundation model,Data,"Classification, Structured prediction",Supervised learning,Training from scratch,Automatic evaluation,"Other, Linguistic quality",NA,Implicit,Inspiration,Text editor,Separated,"Location, Media type, Formatting",Tool,User-initiated,Analysis,Model,Input text,NA,Designing with stakeholders,NA,Other,Conventions,Writing
Machine-in-the-Loop Rewriting for Creative Image Captioning,https://aclanthology.org/2022.naacl-main.42,2022,Revision,"Technical, Creative",Descriptive,Specific Objectives,Implied,NA,NA,Textual coherence,Textual coherence,Ownership,Ownership,Creativity,Writing expertise,"Other, Expert",Large (<1M),Deep neural network,Data,"Generation, Rewriting",Supervised learning,Fine-tuning,"Automatic evaluation, Human evaluation",Linguistic quality,Cost,"No control, Explicit","Editing, Selection",Text editor,"Writing area, Separated","Formatting, Location",Tool,User-initiated,"Proposal, Generation","Curated, Model",Input text,Technical interoperability,Designing with stakeholders,NA,NA,Conventions,Writing
Help me write a Poem: Instruction Tuning as a Vehicle for Collaborative Poetry Writing,https://aclanthology.org/2022.emnlp-main.460,2022,Drafting,Creative,Entertainment,General Direction,NA,Profession,Profession,"Textual coherence, Textual diversity","Textual coherence, Textual diversity",Agency,Agency,Creativity,Creativity,"Crowdworker, Other",Large (<1M),Deep neural network,Data,Generation,Supervised learning,Fine-tuning,"Automatic evaluation, Human evaluation",Linguistic quality,"Cost, Latency",Explicit,"Editing, Selection",Other,Separated,Location,"Tool, Agent",User-initiated,"Proposal, Generation",Model,Input text,NA,Designing with stakeholders,NA,NA,NA,Writing
From Tool to Companion: Storywriters Want AI Writers to Respect Their Personal Values and Writing Strategies,https://doi.org/10.1145/3532106.3533506,2022,NA,NA,NA,NA,NA,Profession,Profession,Textual coherence,Textual coherence,"Agency, Integrity, Trust",Agency,Writing expertise,Writing expertise,Machine,Large (<1M),Foundation model,Data,Generation,Supervised learning,Prompt Engineering,Human evaluation,Ethics,Cost,Explicit,Editing,Text editor,Writing area,Formatting,Agent,User-initiated,Generation,Deterministic,Input text,NA,Designing with stakeholders,NA,NA,Conventions,"Readers, Authors, Writing, Technologies"
Emotional Intensity Estimation based on Writer's Personality,https://aclanthology.org/2022.aacl-srw.1,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Expert,Large (<1M),Deep neural network,Data,Classification,Supervised learning,Fine-tuning,Automatic evaluation,Linguistic quality,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DramatVis Personae: Visual Text Analytics for Identifying Social Biases in Creative Writing,https://doi.org/10.1145/3532106.3533526,2022,"Drafting, Revision",Creative,"Narrative, Analytical","General Direction, Specific Objectives",Specified,"Race, Age, Gender",Gender,"Textual diversity, Textual coherence, Bias","Textual diversity, Textual coherence, Bias","Ownership, Agency","Ownership, Agency","Writing expertise, Creativity","Writing expertise, Creativity","User, Machine",Unknown,"Statistical ML model, Deep neural network","Tool, Data",Structured prediction,Supervised learning,Other,Human evaluation,"Linguistic quality, Ethics",Cost,"Implicit, Explicit","Editing, No integration",Text editor,Separated,"Formatting, Location",Tool,User-initiated,Analysis,Deterministic,Input text,NA,Designing with stakeholders,NA,NA,NA,Writing
CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,https://doi.org/10.1145/3491102.3502030,2022,NA,NA,NA,NA,NA,NA,NA,"Textual coherence, Textual diversity","Textual coherence, Textual diversity",Agency,Ownership,Writing expertise,Writing expertise,NA,NA,Foundation model,NA,Generation,NA,Tuning decoding parameters,NA,NA,NA,Implicit,Selection,Text editor,Writing area,Formatting,Tool,User-initiated,Generation,Model,Input text,NA,NA,NA,NA,NA,"Writing, Authors"
Beyond Text Generation: Supporting Writers with Continuous Automatic Text Summaries,https://doi.org/10.1145/3526113.3545672,2022,Revision,"Professional, Other",Analytical,General Direction,NA,Profession,NA,NA,NA,NA,NA,Efficiency,Efficiency,NA,Extremely large (>1M),Foundation model,NA,Classification,"Unsupervised learning, Supervised learning",NA,Human evaluation,Other,NA,"Implicit, Explicit",Inspiration,Text editor,Separated,Location,Tool,System-initiated,Analysis,Model,Input text,NA,Designing with stakeholders,NA,NA,NA,Writing
arXivEdits: Understanding the Human Revision Process in Scientific Writing,https://aclanthology.org/2022.emnlp-main.641,2022,Revision,Academic,Educational,General Direction,Implied,NA,NA,NA,NA,NA,NA,NA,NA,"Crowdworker, Other, Machine",Medium (<10k),Deep neural network,Data,Generation,Supervised learning,Fine-tuning,Human evaluation,Linguistic quality,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adaptive Empathy Learning Support in Peer Review Scenarios,https://doi.org/10.1145/3491102.3517740,2022,Revision,"Professional, Personal",Educational,Specific Objectives,Implied,Education,Education,Other,Other,Ownership,Ownership,Empathy,Empathy,"Other, Expert",Medium (<10k),Deep neural network,NA,Classification,Supervised learning,NA,"Human-machine evaluation, Human evaluation",Other,NA,No control,No integration,Other,Custom,Location,Tool,User-initiated,Analysis,Curated,Input text,Technical interoperability,"Designing with stakeholders, Designing for social writing",NA,NA,NA,"Authors, Writing"
QuoteR: A Benchmark of Quote Recommendation for Writing,https://aclanthology.org/2022.acl-long.27,2022,Idea generation,Creative,Persuasive,General Direction,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, Machine",Medium (<10k),Deep neural network,Data,Classification,Supervised learning,Fine-tuning,Machine-learned evaluation,Linguistic quality,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Your Text Is Hard to Read: Facilitating Readability Awareness to Support Writing Proficiency in Text Production,https://doi.org/10.1145/3563657.3596052,2023,Revision,Professional,"Feedback, Persuasive","Detailed Requirements, General Direction",Specified,NA,NA,Textual coherence,Textual coherence,"Ownership, Availability, Trust","Ownership, Availability, Trust, Agency",Writing expertise,Writing expertise,Expert,Unknown,"Statistical ML model, Rule-based model",Data,Regression,Supervised learning,Fine-tuning,Machine-learned evaluation,Linguistic quality,Cost,"Implicit, Explicit","Inspiration, No integration","Other, Text editor",Separated,Location,Tool,User-initiated,Analysis,Deterministic,Input text,NA,Designing with stakeholders,NA,NA,NA,Writing
Visualize Before You Write: Imagination-Guided Open-Ended Text Generation,https://aclanthology.org/2023.findings-eacl.5,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machine, Expert",Large (<1M),Foundation model,Data,Generation,Supervised learning,Fine-tuning,"Automatic evaluation, Human evaluation",Linguistic quality,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
To Revise or Not to Revise: Learning to Detect Improvable Claims for Argumentative Writing Support,https://aclanthology.org/2023.acl-long.880,2023,Revision,"Professional, Academic","Feedback, Persuasive","General Direction, Specific Objectives",Implied,Education,Education,Textual coherence,Textual coherence,Ownership,Ownership,Writing expertise,Writing expertise,"User, Machine",Large (<1M),Deep neural network,Data,Classification,Supervised learning,Fine-tuning,Automatic evaluation,Linguistic quality,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Supporting Novices Author Audio Descriptions via Automatic Feedback,https://doi.org/10.1145/3544548.3581023,2023,Drafting,Other,Descriptive,Specific Objectives,Specified,"Other, Profession","Other, Profession","Textual diversity, Explainability","Textual coherence, Explainability",Other,Other,Efficiency,Efficiency,NA,NA,Rule-based model,Tool,NA,NA,NA,Human evaluation,Style & adequacy,NA,No control,"Inspiration, No integration",Text editor,Separated,Location,Tool,System-initiated,"Proposal, Analysis",Curated,Input text,NA,Designing with stakeholders,NA,NA,NA,Writing
Structured Persuasive Writing Support in Legal Education: A Model and Tool for German Legal Case Solutions,https://aclanthology.org/2023.findings-acl.145,2023,Revision,Professional,"Educational, Persuasive","Detailed Requirements, Specific Objectives",Specified,Education,Education,"Other, Explainability","Other, Explainability","Ownership, Trust","Ownership, Trust","Writing expertise, Other","Writing expertise, Other, Efficiency",Expert,Large (<1M),Foundation model,Data,Classification,Supervised learning,Fine-tuning,"Human evaluation, Automatic evaluation",Other,NA,Implicit,Inspiration,Text editor,Separated,"Location, Media type, Formatting",Tool,User-initiated,Analysis,Model,Input text,NA,Designing with stakeholders,NA,NA,Conventions,Writing
Social Dynamics of AI Support in Creative Writing,https://doi.org/10.1145/3544548.3580782,2023,NA,NA,NA,NA,NA,Profession,NA,Personalization,NA,Ownership,"Availability, Trust",Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Designing with stakeholders,NA,NA,Conventions,NA
Smart Word Suggestions for Writing Assistance,https://aclanthology.org/2023.findings-acl.712,2023,Revision,NA,Feedback,Detailed Requirements,NA,NA,Language & culture,Textual coherence,Textual coherence,NA,NA,Writing expertise,Writing expertise,"Expert, Other, User",Extremely large (>1M),Foundation model,NA,"Rewriting, Classification",Supervised learning,Fine-tuning,"Automatic evaluation, Human-machine evaluation","Linguistic quality, Style & adequacy",NA,NA,NA,NA,NA,NA,NA,NA,Analysis,Model,Input text,NA,NA,NA,NA,NA,NA
Semi-Automated Approach for Evaluating Severe Weather Risk Communication,https://doi.org/10.1145/3544549.3585753,2023,NA,NA,NA,NA,NA,"Language & culture, Profession",NA,Other,NA,Other,NA,Efficiency,NA,Authors,Medium (<10k),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Predicting Desirable Revisions of Evidence and Reasoning in Argumentative Writing,https://aclanthology.org/2023.findings-eacl.193,2023,Revision,Academic,"Feedback, Persuasive","Detailed Requirements, Specific Objectives",Implied,Education,Education,Other,NA,NA,NA,"Writing expertise, Other","Writing expertise, Other","User, Expert",Medium (<10k),"Foundation model, Deep neural network",NA,Classification,Supervised learning,Fine-tuning,"Automatic evaluation, Human evaluation, Human-machine evaluation",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mixed-Initiative Interaction with Computational Generative Systems,https://doi.org/10.1145/3544549.3577061,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agency,Ownership,Writing expertise,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explicit,Selection,Text editor,"Writing area, Custom, Separated",Location,"Tool, Hybrid","User-initiated, System-initiated",Generation,Model,Input text,NA,NA,NA,NA,NA,NA
Metaphorian: Leveraging Large Language Models to Support Extended Metaphor Creation for Science Writing,https://doi.org/10.1145/3563657.3595996,2023,Idea generation,Creative,Entertainment,General Direction,NA,Profession,Profession,"Textual coherence, Textual diversity","Textual coherence, Textual diversity","Ownership, Transparency, Agency","Ownership, Agency",Creativity,Creativity,NA,NA,Foundation model,Data,Generation,Self-supervised learning,Prompt Engineering,Human evaluation,Style & adequacy,NA,Explicit,Inspiration,"Other, Text editor","Custom, Separated",Location,Tool,User-initiated,Proposal,Model,Additional data,NA,Designing with stakeholders,NA,NA,Conventions,"Authors, Writing"
Lettersmith: Scaffolding Written Professional Communication Among College Students,https://doi.org/10.1145/3544548.3581029,2023,Drafting,Professional,"Educational, Persuasive",Specific Objectives,Implied,Education,Education,Textual coherence,Textual coherence,NA,NA,Writing expertise,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explicit,Inspiration,Text editor,Separated,Location,Tool,User-initiated,NA,Deterministic,NA,NA,Designing with stakeholders,NA,NA,Conventions,"Authors, Writing"
Interacting with Next-Phrase Suggestions: How Suggestion Systems Aid and Influence the Cognitive Processes of Writing,https://doi.org/10.1145/3581641.3584060,2023,Drafting,"Professional, Journalistic",Feedback,General Direction,Implied,Language & culture,Language & culture,Textual coherence,"Textual coherence, Bias",NA,Agency,NA,Cognition,Other,Large (<1M),Foundation model,NA,Generation,Self-supervised learning,Fine-tuning,Human evaluation,"Controllability, Style & adequacy",NA,"No control, Explicit",Selection,Text editor,Writing area,"Formatting, Location",Tool,"User-initiated, System-initiated",Generation,Model,Input text,NA,Designing with stakeholders,NA,NA,NA,Authors
Fiction-Writing Mode: An Effective Control for Human-Machine Collaborative Writing,https://aclanthology.org/2023.eacl-main.128,2023,Drafting,Creative,Narrative,General Direction,NA,Profession,Profession,Textual coherence,Textual coherence,NA,NA,Writing expertise,Efficiency,Crowdworker,Medium (<10k),Foundation model,NA,"Generation, Classification",Supervised learning,Fine-tuning,"Automatic evaluation, Machine-learned evaluation, Human evaluation","Linguistic quality, Controllability, Style & adequacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Effidit: An Assistant for Improving Writing Efficiency,https://aclanthology.org/2023.acl-demo.49,2023,"Drafting, Revision",Other,"Other, Entertainment","General Direction, Specific Objectives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deep neural network,Data,"Classification, Rewriting, Generation",NA,NA,NA,Other,NA,Explicit,"Selection, Inspiration","Other, Text editor",Separated,Location,"Tool, Agent",User-initiated,Generation,Model,Input text,NA,NA,NA,NA,NA,NA
